id,question,correctAnswer,answerA,answerB,answerC,answerD
109479,Diels-Alder reactions between dienes and these molecules can be catalyzed by ruthenium Lewis acids.,D,Group (mathematics),Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Ketone
207788,"This property is present in elements above the horizontal axis in the Bethe-Slater curve, and it only occurs in materials with one or more easy axes.",B,Piezoelectricity,Ferromagnetism,Diffraction,Thermoelectric effect#Seebeck effect
109486,This man's namesake field is a massless Proca field.,D,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),James Clerk Maxwell
109491,"The price equation predicts it more accurately than the Fisher equation, one reason for the formers success in reformulating laws of variance.",B,Hamiltonian (quantum mechanics),Founder effect,Don Giovanni,Group (mathematics)
109494,"If predictions of some Grand Unified Theories are accurate, loops of superconducting wire a few inches in diameter should detect one of these about every year.",D,Seafloor spreading,Davisson-Germer experiment,Spin (physics),Magnetic monopole
109510,"It is neither a force nor an event, and it is often idealized as a step-function to make calculations simpler.",D,Don Giovanni,Group (mathematics),Hamiltonian (quantum mechanics),Impulse (physics)
109515,It used to be prescribed for skin diseases despite its irritant properties.,B,Hamiltonian (quantum mechanics),Asbestos,Group (mathematics),Don Giovanni
109524,"Because of resonance stabilization of its conjugate base, the alpha-hydrogen in them is more acidic than in alkanes.",C,Ketone,Benzene,Aldehyde,Acetone
207832,"The size distribution of the elements of this process is given by the Marshall-Palmer law, and the Z-R  relation is used to correlate the severity of this phenomenon with radar reflectivity.",A,Rain,Group (mathematics),Hamiltonian (quantum mechanics),Don Giovanni
207843,"One theory of this force states that the square of its coupling constant times the square root of 2 over 8 is proportional to G sub F. The constraint V sub ik times V-star of jk, summed over all k, equals zero, gives the unitarity triangles that constrain a mathematical device used to describe this force.",C,Hamiltonian (quantum mechanics),Group (mathematics),Weak interaction,Georg Wilhelm Friedrich Hegel
109540,"At standard temperature and pressure, it is a toxic and corrosive gas with a strong odor, and until the advent of haloalkanes like Freon, it was widely used as a refrigerant because it easily liquefies under pressure.",C,Ozone,Acetone,Ammonia,Distillation
109546,"Because of the intermittent high pressure in it, it can develop pockets known as diverticulli in its walls, which while not necessarily harmful can become infected.",A,Colon (anatomy),Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics)
207853,One tumor of this organ occurs often in patients with Denys-Drash syndrome and is caused by deletion of the WT1 gene on chromosome 11p.,A,Kidney,Group (mathematics),Hamiltonian (quantum mechanics),Don Giovanni
109553,"It plays a double role in the reinforcement of local temperatures, since a high value both is caused by snow, and results in cooling of the land.",D,Group (mathematics),Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Albedo
207860,"Fabiola and Chapman added a pair of angles to a potential modelling these phenomena, which are often modelled by the Dreiding equation.",C,Raman scattering,Pauli exclusion principle,Hydrogen bond,Brownian motion
109568,"They were hypothesized in December of 1930 in the course of a series of experiments investigating the loss of more energy than explained by entropy in the angular momentum of particles emitted in beta decay, but their existence went unproven to 1956 and none were actually observed until 1969.",C,Seafloor spreading,Magnetic monopole,Neutrino,Davisson-Germer experiment
207874,This value appears in both terms of the definition of the Lagrange invariant.,A,Refractive index,Angular momentum,Riemann zeta function,Augustin-Louis Cauchy
109573,"One type of it is often phosphorylated on serine 10, though this class of proteins is better known for other types of post-transcriptional modifications.",B,Don Giovanni,Histone,Hamiltonian (quantum mechanics),Group (mathematics)
109578,"Though they are normally only composed of sp2 hybrid orbitals between bonds, conditions of high pressure can merge them together into long strands by swapping some of these into sp3 orbitals.",D,Hamiltonian (quantum mechanics),Group (mathematics),Georg Wilhelm Friedrich Hegel,Carbon nanotube
109588,"If this quantity exists, then the Leibnitz rule will work on the Poisson bracket.",B,Black hole,Hamiltonian (quantum mechanics),Thermoelectric effect#Seebeck effect,Pauli exclusion principle
207916,The existence of this substance in a flat universe would cause the linear term of the late-time integrated Sachs-Wolfe effect to dominate the higher- order terms.,A,Dark energy,Black hole,Comparative advantage,Jahn-Teller effect
109622,"Its carbon arc, created between graphite electrodes, is used to harvest Fullerene.",D,Diffusion,Bose-Einstein condensate,Viscosity,Plasma (physics)
109626,He hypothesized that sickle cell anemias genetic nature as well as its different charge from normal cells.,B,Group (mathematics),Linus Pauling,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics)
207931,"Danilova's study of this organism discovered a new immunoglobulin isotype, dubbed IgZ.",D,Hamiltonian (quantum mechanics),Johann Wolfgang von Goethe,Group (mathematics),Zebrafish
109629,"Herbert Brown won the 1979 Nobel for use of this element, important in the Suzuki reaction.",D,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics),Boron
208783,"According to Turan's Theorem, one of these entities is necessarily formed if four times the number of edges in a graph is greater than the number of vertices squared.",D,Hamiltonian (quantum mechanics),Don Giovanni,Group (mathematics),Triangle
109637,The light of the Pleiades constellation creates a brilliant blue reflection type of them which have their light polarized due to magnetic interactions with nickel and iron particles.,B,Georg Wilhelm Friedrich Hegel,Nebula,Hamiltonian (quantum mechanics),Group (mathematics)
11344,"Herman Melville's Battlepieces included sketches set at this location, whose man-animal relations are the subject of studies by anthropologist Eugene Guribye.",A,Galapagos Islands,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics)
109653,"The first direct experimental evidence of their existence occurred when three-jet events were observed at PETRA in Hamburg in 1979, although deep inelastic scattering at the Stanford Linear Accelerator Center had earlier established their existence.",C,Group (mathematics),Hamiltonian (quantum mechanics),Gluon,Don Giovanni
109656,"Besides being involved in the creation of lysosomes, they are able to modify substances through glycosylation.",C,Abscisic acid,Glycogen,Golgi apparatus,Glycolysis
207965,This procedure will generate a cycle when the Nakamura number is exceeded.,C,Hamiltonian (quantum mechanics),Group (mathematics),Voting,Don Giovanni
207979,"The product of one form of this quantity and the junction depth j is plotted against concentration on Irvin's curves; that is its ""sheet"" form.",C,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Electrical resistance,Group (mathematics)
207987,An ion of this element is used as a masking agent when performing an EDTA titration of a mixture of magnesium and aluminum.,D,Hamiltonian (quantum mechanics),Group (mathematics),Volpone,Fluorine
207995,One equation important to understand this process is derived by rearranging the Schrodinger equation and then adding an i times epsilon term to a denominator because E minus H sub zero is singular.,B,Group (mathematics),Scattering,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel
207997,"In the Peng-Robinson equation, the departure function for this quantity is equal to R times critical temperature times a function of the compressibility factor.",C,Group (mathematics),Hamiltonian (quantum mechanics),Enthalpy,Georg Wilhelm Friedrich Hegel
208000,An overdose of an agonist of this compound's receptors can be reversed using flumazenil.,D,Cholesterol,Glycogen,Acetylcholine,Gamma-Aminobutyric acid
208012,The autocorrelation function is related by the Fourier transform to the spectral density of this quantity according to the Weiner-Kinchin theorem.,B,Pauli exclusion principle,Power (physics),Moment of inertia,Spin (physics)
208017,"A mixture of potassium hydroxide and this element's tetra-iodo form is used in a reagent used to detect ammonia, named for Nessler.",B,Don Giovanni,Mercury 13,Group (mathematics),Hamiltonian (quantum mechanics)
208024,A spherical harmonic can be decomposed into N times an exponential times the associated Legendre polynomial of THIS function.,C,Transcription (genetics),Hamiltonian (quantum mechanics),Cosine,Group (mathematics)
208054,"The first disease to be associated with this organelle was Leber's hereditary optic neuropathy, and the TIM and TOM complexes are inner and outer transport mechanisms in it.",B,Tuberculosis,Mitochondrion,Cholesterol,Collagen
208058,This organ affected by Liddle's syndrome and Denys-Drash syndrome can develop Wilm's tumors.,A,Kidney,Retina,Spleen,Liver
208079,"In computer science, a similarity metric named after this function can be used to find two vectors that are the most similar.",A,Cosine,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Group (mathematics)
208088,The London equations can be used to describe the magnetic fields of these objects.,A,Superconductivity,Bose-Einstein condensate,Thermoelectric effect#Seebeck effect,Black hole
208092,"Thalassemia patients have a reduced quantity of these cells, which can be measured using the mean corpuscular volume.",D,Hamiltonian (quantum mechanics),Group (mathematics),Georg Wilhelm Friedrich Hegel,Red blood cell
208102,One problem associated with this technique is known as tailing but can be avoided by increasing the polarity of the solvent.,B,Adenosine triphosphate,Chromatography,Aldol reaction,Viscosity
208108,The powder type of this phenomenon is a technique used to analyze crystalline solids.,B,Raman scattering,Diffraction,Brownian motion,Bose-Einstein condensate
208110,"When immersed in potassium dichromate and silver nitrate, these cells turn black in Golgi staining.",D,Acetylcholine,Calcium,Cholesterol,Neuron
208113,"In graph theory, this man names a closed path which traces each edge precisely once.",C,Group (mathematics),Hamiltonian (quantum mechanics),Leonhard Euler,G. E. Moore
208118,This function is approximated for large numbers by Stirling's approximation.,D,Arrow's impossibility theorem,Josiah Willard Gibbs,Riemann zeta function,Factorial
193065,This scientist worked with Christopher Wren as the chief Surveyor to the City of London after the Great Fire.,A,Robert Hooke,G. E. Moore,Group (mathematics),Hamiltonian (quantum mechanics)
208120,"The UV light initiated reaction of hydrocarbons with this group is commonly used to functionalize hydrocarbons, and the Finkelstein reaction exchanges these elements.",A,Halogen,Ketone,Titanium,Cyclohexane
109820,Helmholtz differential equations are separable in coordinate systems depending on the value of Stckel's calculation of this entity.,C,Arrhenius equation,Enthalpy,Determinant,Bessel function
109824,"It manifests a gravitational redshift known as the Sachs-Wolfe effect, which occurs at the surface of last scattering, and the B-modes of its polarization signal arise from tensor perturbations.",C,Electric field,Cherenkov radiation,Cosmic microwave background,Doppler effect
109828,"Errors in this procedure can be corrected by replacing one of the reagents with PfuUltra or Pfx, while spurious products can be swamped out by ramping up the temperature in the touchdown variation.",D,Infrared spectroscopy,Grignard reaction,Gibbs free energy,Polymerase chain reaction
208134,"In 2012, researchers at Case Western Reserve University announced a potential to cure this condition using the cancer drug Bexarotene.",C,Transcription (genetics),Tay-Sachs disease,Alzheimer's disease,Abscisic acid
208137,One property of this entity can be measured by using the Suits index.,B,Hamiltonian (quantum mechanics),Tax,Don Giovanni,Group (mathematics)
208139,This theory was used to explain a rotation known as Thomas precession.,D,Johann Wolfgang von Goethe,Group (mathematics),Hamiltonian (quantum mechanics),Special relativity
109836,"Biologically, this element is found in the F430 prosthetic group of methanogenic bacteria, and in humans, it is found the active site of urease.",D,Zinc,Arsenic,Boron,Nickel
208148,"The Wohlwill process is used to refine the purest form of this element, which is used in small concentrations to produce the color of ruby red glass.",B,Magnesium,Gold,Arsenic,Boron
109850,"Slater determinants can be used to describe the state of a system that satisfies this statement, and color was proposed in order to render the existence of the omega-minus baryon consistent with it.",D,Bessel function,Nernst equation,Brownian motion,Pauli exclusion principle
208156,"This organ contains macrophages called Kupffer Cells, and it is also the primary site of gluconeogenesis.",C,Stomach,Phloem,Liver,Spleen
109854,"A five-tuple one of these adds a ""new symbol"" component to the four-tuples used in the traditional type of these, while Tibor Rado formulated one of these which involved determining the maximum number of time steps performed, the Busy Beaver.",D,Polymerase chain reaction,Spin (physics),Rosh Hashanah,Turing machine
109859,"In E. Coli, the protein Rad27 is involved in the processing of these structures, and a Finnish team discovered in 1996 that their joining may be polyamine dependent.",A,Okazaki fragments,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics)
208169,"The Laguerre polynomial gives the radial part of the state vector for this element that has a namesake line that forms when it transitions between two ground level states, called its ""twenty-one centimeter line."" All of its visible spectral lines are within the Balmer series, and it has an isotope with two more neutrons than normal that is called tritium.",D,Group (mathematics),Don Giovanni,Hamiltonian (quantum mechanics),Hydrogen
208174,The Rossby numbers found in tornados are negligible when discussing this force.,B,Black hole,Coriolis effect,Seafloor spreading,Spin (physics)
109871,"When they are threaded by magnetic fields, they can exhibit waves that propagate in the direction of the field known as Alfven waves, while their characteristics are frequently measured with a Langmuir probe.",D,G. E. Moore,Group (mathematics),Hamiltonian (quantum mechanics),Plasma (physics)
208176,"The square root of the cohesive energy density gives the Hildebrand parameter for this property, and the ratio of this value for two phases is given by the partition coefficient.",C,Hamiltonian (quantum mechanics),Don Giovanni,Solubility,Group (mathematics)
109874,"This compounds 5-hydroxy form has potential for treating epilepsy, and some cases of Eosinophilia-myalgia syndrome have been traced to supplements containing this compound.",C,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Tryptophan,Group (mathematics)
109877,"The Schaeffer-Bergmann variety of this phenomenon arises in interactions with sounds that take place in crystals, and the Kirchhoff formalism derives this phenomenon from a scalar differential wave theory.",C,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Diffraction,Group (mathematics)
208184,"These organisms contain clamp connections and Spitzenkorper, which are the organizing centers for their growth.",A,Fungus,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics)
11579,"He's not Leonardo, but he was quite a Renaissance man, proposing flying machines and motorized ships.",D,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Group (mathematics),Roger Bacon
208194,"One of these is emitted in the Auger Effect, and these particles were detected in a Faraday box after a nickel target was rotated, which allowed for the calculation of lattice spacing and confirmed the de Broglie hypothesis.",B,Electric field,Electron,Cherenkov radiation,Diamagnetism
208198,This man names an effect in which a light beam's plane of polarization is rotated by a magnetic field.,B,Doppler effect,Michael Faraday,Cherenkov radiation,Compton scattering
109895,"An example of its inverse is the Sunyaev-Zeldovich effect, and the cross-section of this process, derived from the assumptions of conservation of energy and momentum, is given by the Klein-Nishina formula.",C,Don Giovanni,Hamiltonian (quantum mechanics),Compton scattering,Group (mathematics)
208202,"The Cydonia region is home to this body's infamous ""Face."" Giovanni Schiaparelli observed a network of linear  structures on its surface but a mistranslation of his notes led to the belief that it contained canals and therefore life.",C,Mars (Doctor Who),Fourth Crusade,Mars,Tang Dynasty
208206,One method for producing this compound used nitrogen dioxide as a catalyst and involved a highly exothermic  oxidation; later versions of that method used a Glover tower to recover the nitrogen oxides and concentrate the  product.,D,Aldol reaction,Wolff-Kishner reduction,Adenosine triphosphate,Sulfuric acid
109904,"Loyers-Dietz syndrome may lead to the aneurysm of the sinus of Valsava, which is located in this structure, and one section of it contains the spindle of His, which lies beyond its isthmus and ductus.",A,Aorta,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Group (mathematics)
109913,"The 4-thio version of this molecule is useful as a zero-length crosslinker, and a fluorinated version of this molecule shows promise as an anticancer agent because it inhibits thymidylate synthase.",D,Group (mathematics),Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Uracil
109915,"The Cotton-Mouton effect results when it is applied to liquids, while in solids its application results in the Voigt effect, sometimes known as its namesake birefringence.",A,Magnetic field,Hamiltonian (quantum mechanics),Group (mathematics),Don Giovanni
109920,"In pigs, this peptides eighth amino acid residue is usually a lysine, but in humans, that residue is always arginine.",B,Mitochondrion,Vasopressin,Collagen,Peroxisome
109923,Polyhistidine tagged proteins are purified using divalent cations in a variation of this technique.,C,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Column chromatography,Group (mathematics)
208228,"In the Kjeldahl method, this procedure is followed by titration of ammonia product.",D,Aldol reaction,Polymerase chain reaction,Claisen condensation,Distillation
109927,The lowermost portion of this region is known as the D [d prime prime] layer.,A,Mantle (geology),Hamiltonian (quantum mechanics),Group (mathematics),Johann Wolfgang von Goethe
208233,"The ""halo"" type of these structures have radii larger than predicted by a liquid drop model.",D,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics),Cell nucleus
208237,"This equation's namesake also names the ""Heat Theorem,"" an alternative to the Third Law of Thermodynamics.",B,Don Giovanni,Nernst equation,Group (mathematics),Hamiltonian (quantum mechanics)
109937,The rock varnish named for these regions consists of clay with manganese and iron oxides.,A,Desert,Hamiltonian (quantum mechanics),Don Giovanni,Group (mathematics)
208242,The relativistic form of this effect was investigated using a type of Mossbauer spectroscopy by Pound and Rebka.,C,Pauli exclusion principle,Compton scattering,Doppler effect,Davisson-Germer experiment
109944,"These compounds can be created from alcohols and nitriles in the Pinner reaction, and the Mitsunobu reaction uses triphenylphosphine to create them stereospecifically.",D,Alcohol,Alkyne,Ketone,Ester
208253,"The Soave equation adds an acentric factor to this statement, and the virial equation measures deviations from this law using a compressibility factor.",C,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Ideal gas law,Group (mathematics)
109956,"Especially strong ones occur over distances less than 2.8 angstroms and are referred to as low-barrier, and they can be studied in solids by inelastic neutron scattering spectroscopy.",C,Thermoelectric effect#Seebeck effect,Bose-Einstein condensate,Hydrogen bond,Raman scattering
208263,"In the human body, the movement of this structure is governed by six muscles, which include the medial rectus and the superior oblique; when these muscles do not work together properly, the result is a condition known as strabismus.",C,Group (mathematics),Hamiltonian (quantum mechanics),Eye,Georg Wilhelm Friedrich Hegel
109963,A 12-point scale proposed by Papadapoulos and Imamura has replaced the Sieberg-Ambraseys intensity scale for these events.,C,Group (mathematics),Georg Wilhelm Friedrich Hegel,Tsunami,Hamiltonian (quantum mechanics)
109970,"The Baldwin-Lomax and Cebeci-Smith models are algebraic models of this process, while the Prandtl model is a one-equation model of it.",C,Diffusion,Fugacity,Turbulence,Viscosity
109973,"Adding polyethylene glycol to one type of these molecules is believed to be able to increase their half-life in vivo, an approach that lead to the drug PEGASYS.",B,Group (mathematics),Interferon,Don Giovanni,Hamiltonian (quantum mechanics)
208280,Louis Hammett developed a function relating their strength to thermodynamic activity coefficients.,C,Group (mathematics),Transcription (genetics),Acid,Hamiltonian (quantum mechanics)
208287,"A mutation of the FMR1 gene can result in Martin-Bell syndrome, also named for the ""fragile"" form of this structure.",A,X chromosome,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics)
109985,"One type of these molecules act through the F-box protein TIR1, and they are most commonly synthesized from tryptophan by the actions of a nitrilase and cytochrome P450.",B,Hamiltonian (quantum mechanics),Auxin,Group (mathematics),Georg Wilhelm Friedrich Hegel
109986,"Miyaoka falsely proved the Bogomolov-Miyaoka-Yau Inequality in 1988, which would have held this statement true for large exponents.",D,Hamiltonian (quantum mechanics),Johann Wolfgang von Goethe,Georg Wilhelm Friedrich Hegel,Fermat's Last Theorem
208296,"Inventory control is modeled by the Markovian type of this concept, and in the Keynesian Cross, this equals the total output of an economy at efficiency.",C,Vapor pressure,Second law of thermodynamics,Demand,Arrhenius equation
109994,"Cheney's algorithm, an extension of the semispace method, is one way to implement this procedure, and involves dividing the heap in half and copying elements back and forth between to-spaces.",D,Group (mathematics),Hamiltonian (quantum mechanics),Don Giovanni,Garbage collection (computer science)
109999,"With Bogoliubov, he names an inequality that gives the expectation value of the Hamiltonian in a system conjugated to a water bath, and with Marangoni, he names an effect that causes unequal distribution of charges on either side of a semipermeable membrane.",D,Group (mathematics),Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Josiah Willard Gibbs
204019,"A general relativistic form of this quantity is equal to the Ricci scalar times the square root of the negative determinant of the metric tensor; that quantity's integral is proportional to a different, related quantity named for Einstein and Hilbert.",A,Lagrangian,Group (mathematics),Hamiltonian (quantum mechanics),Don Giovanni
208313,"A DH Lawrence poem compares ""Peace"" to a substance from one of these entities ""walking like a royal snake."" Emma Hamilton's husband loves these things in a novel about her affair with Horatio Nelson.",C,Georg Wilhelm Friedrich Hegel,Group (mathematics),Volcano,Hamiltonian (quantum mechanics)
110010,"This process provides a schematic approximation to the generation of hurricanes, since they begin when air spirals toward the storm center, acquiring entropy at constant temperature.",B,Group (mathematics),Carnot cycle,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics)
110013,Situs inverses and genetically inherited polycystic kidney disease are both thought to be caused by a disruption of transport within these structures.,C,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Flagellum,Group (mathematics)
110014,The Wiener-Khinchin theorem states that certain power spectral densities are equal to their corresponding autocorrelation function after undergoing this process.,D,Pauli exclusion principle,Thermoelectric effect#Seebeck effect,Hooke's law,Fourier transform
11711,"He once stopped an animal from being beaten because he said that he heard the voice of a dead friend coming from it, a notion stemming from his doctrine of metempsychosis.",C,Group (mathematics),Transcription (genetics),Pythagoras,Hamiltonian (quantum mechanics)
110020,Materials with this property can exhibit a noise arising from self-organized criticality known as the Barkhausen effect.,B,Black hole,Ferromagnetism,Seafloor spreading,Magnetic field
110028,"One variation of this reaction uses phenyllithium to convert an erythro intermediate to a threo one, and the same product can be obtained via the alternative Julia reaction.",C,Claisen condensation,Aldol reaction,Wittig reaction,Polymerase chain reaction
110030,"Many phenotypes of this disease result from the overexpression of mGluR proteins, antagonists to which may be successful in treating this disease.",B,Hamiltonian (quantum mechanics),Fragile X syndrome,Group (mathematics),Don Giovanni
110036,"Buildup of cholesterol in this organ leads to it being given the epithet strawberry, and a disease that describes it as porcelain results from its calcification.",D,Hamiltonian (quantum mechanics),Group (mathematics),Georg Wilhelm Friedrich Hegel,Gallbladder
11733,His philosophy of language recorded in Sumule dialectics and Compendium studii theologiae classified words into natural and conventional signification.,B,Group (mathematics),Roger Bacon,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel
110041,The two strongest spectroscopic lines attributed to the unknown element nebulium were later found to correspond to forbidden magnetic dipole radiation from ions of this element.,B,Group (mathematics),Oxygen,Hamiltonian (quantum mechanics),Don Giovanni
110047,"The TRIUMF (read: triumph) laboratory in Canada has explored a way of treating cancer by bombardment with these particles, and Cecil Powel received a Nobel Prize in Physics for developing the technology that led to its discovery.",A,Pion,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Group (mathematics)
110050,A variation of the Ullman condensation named for Goldberg combines aryl ones with aryl halides in the presence of copper.,D,Wittig reaction,Aldol reaction,Grignard reaction,Amine
110054,"Two intermediates in this pathway are inhibitors of prolyl 4-hydroxylases, meaning they may contribute to increased activity of Hypoxia Inducible Factors.",C,Adenosine triphosphate,Abscisic acid,Citric acid cycle,Cyclic adenosine monophosphate
110055,"Two sections of this organ are separated by Reissners membrane, transport through which is disrupted in Menieres disease.",A,Cochlea,Hamiltonian (quantum mechanics),Don Giovanni,Group (mathematics)
110057,They produce material that enters a so-called snow-plow phase after passing through a period of free expansion and the Sedov phase.,D,Don Giovanni,Group (mathematics),Hamiltonian (quantum mechanics),Supernova
110058,Yuri Matiyasevich used these entities to show that it was impossible to find a solution to Hilbert's tenth problem.,D,Prime number,Group (mathematics),Arrow's impossibility theorem,Fibonacci number
110062,"Montgomery and Charles Vaughan bounded the number of errors for sufficiently large values used in this statement, while Hardy and Littlewood used an asymptotic analysis to create the ""extended version.",A,Goldbach's conjecture,Hamiltonian (quantum mechanics),Don Giovanni,Group (mathematics)
11768,"Deeply influenced by Peter Peregrinus, this medieval thinker's epistemology stemmed from his attempts to understand visual perception, 	Patronized by Clement IV to do his work in secret, after the Pope's death he wrote two works, Communia Naturalium, and Communia Mathematica, but he is better known for his longer works.",B,Georg Wilhelm Friedrich Hegel,Roger Bacon,Group (mathematics),Hamiltonian (quantum mechanics)
208381,Two of these objects can be seen in the most famous artwork by Francis Cugat.,D,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics),Eye
208396,"In a Kalidasa work, ""a certain yaksha"" spots a cloud whose playfulness reminds him of a mature one of these animals.",B,Group (mathematics),Elephant,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel
208399,"One poem observes the nearness of this object ""while my little boat moves on its mooring of mist,"" and the speaker of another poem about this subject wonders where he will find it the next year after noting that ""The current life will not last long"".",A,Moon,Don Giovanni,Hamiltonian (quantum mechanics),Group (mathematics)
110096,"One of these functional groups can be added to a terminal alkyne, frequently catalyzed by copper(I), in what has been referred as the paradigm of click chemistry by K. Barry Sharpless.",D,Aldol reaction,Wittig reaction,Grignard reaction,Azide
110114,"One man in this work talks about Dave, who was sent to Oak Ridge to work on the Manhattan Project, and now has to wear lead gloves all the time, an awful break for a piano player.",C,Gerard Manley Hopkins,Harold Pinter,Entropy,Robert Frost
110142,"Along with Chatt and Duncanson, this chemist gives his name to a model which describes the intervention of pi complexes in transition metals.",B,Group (mathematics),Michael J. S. Dewar,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel
207709,The Duane-Hunt Law describes the maximum frequency of this type of radiation that can be produced by the deceleration of electrons in a process known as bremsstrahlung.,B,Hamiltonian (quantum mechanics),X-ray,Georg Wilhelm Friedrich Hegel,Group (mathematics)
110161,"The latitude and longitude coordinates for these can be calculated using Stonyhurst Disks, circular pieces of cardboard drawn to appropriate diameter.",D,Hamiltonian (quantum mechanics),Group (mathematics),Georg Wilhelm Friedrich Hegel,Sunspot
208472,One character in this novel remembers his childhood dreams of a trumpet in discussing the Object  of Desire.,D,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics),Foucault's Pendulum
208485,One receptor important in the metabolism of this substance contains a YTRF endocytotic signal.,A,Iron,Hamiltonian (quantum mechanics),Transcription (genetics),Group (mathematics)
110183,Replacing the anomeric carbon group in this molecule with a single hydrogen results in arabinose.,C,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Fructose,Group (mathematics)
110188,The original idea for these is reflected in the development of Matrioshka Brains; another conception of them posits statites which support the weight of photovoltaic cells.,A,Dyson sphere,Transcription (genetics),Hamiltonian (quantum mechanics),Group (mathematics)
11890,"The ""structure"" of this is the subject of a book by W. H. Newton-Smith, which discusses Peirce's argument about a limit of this and constraints on logical possibility.",A,Time,Hamiltonian (quantum mechanics),Group (mathematics),Georg Wilhelm Friedrich Hegel
110196,Lipinskis rule of this number is a simple algorithm used to determine the druglikeness of chemical compounds or the likelihood that a compound will be an orally active drug.,B,Georg Wilhelm Friedrich Hegel,5 (number),Hamiltonian (quantum mechanics),Group (mathematics)
208501,One division within this period is marked by the appearance of Pseudostaffella antiqua.,B,Georg Wilhelm Friedrich Hegel,Carboniferous,Hamiltonian (quantum mechanics),Group (mathematics)
209513,"The defining equation named for these things is conventionally written ""u sub tt equals c times u sub xx"".",C,Hamiltonian (quantum mechanics),Group (mathematics),Wave,Don Giovanni
208507,"In particle physics, this word names peaks in the cross section of a scattering experiment  corresponding to the indirect observation of short-lived particles.",C,Group (mathematics),Hamiltonian (quantum mechanics),Resonance,Georg Wilhelm Friedrich Hegel
110213,Their existence can be partly explained by the Brown-Shook model.,C,Hamiltonian (quantum mechanics),Group (mathematics),Kirkwood gap,Don Giovanni
110218,"In 1971, Theodor Benzinger proposed a thermal version of this quantity which is useful in analyzing the energetics of protein folding.",C,Hamiltonian (quantum mechanics),Johann Wolfgang von Goethe,Work function,Georg Wilhelm Friedrich Hegel
208528,One perturbative solution to this kind of problem takes the form of an infinite series of Feynman  diagrams that diverges.,C,Hamiltonian (quantum mechanics),Don Giovanni,Scattering,Group (mathematics)
208532,Some members of this phylum contain a hook for gripping onto objects called a rostellum and an  adhesive patch called a myzorhynchus.,B,Group (mathematics),Flatworm,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics)
110239,Hirschsprung's Disease results from a hereditary lack of cells in parts of this system.,C,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Enteric nervous system,Group (mathematics)
110254,"Methods used to compute it include various embarassingly parallel implementations, the Hubbard-Douady potential, and the Milnor algorithm.",B,Group (mathematics),Mandelbrot set,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics)
208568,Functions with a special type of this property make up Holder spaces.,A,Continuous function,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics)
208571,LDA is used to transform propargyl diol into one of these compounds in the Whiting reaction.,C,Georg Wilhelm Friedrich Hegel,Group (mathematics),Diene,Hamiltonian (quantum mechanics)
110273,This structure can be repaired by grafting in the Bentall procedure.,D,Hamiltonian (quantum mechanics),Group (mathematics),Georg Wilhelm Friedrich Hegel,Aorta
